name,description,team,battingStyle,bowlingStyle,playingRole
Corey Anderson,"Anderson, who would not look out of place in the All Blacks' front row, became the youngest New Zealand player to gain a contract when, at 16, he was awarded the deal that Chris Harris declined. Anderson had already appeared for Canterbury the previous year and, within a year, he had played for New Zealand A, as well as in the State final. A left-arm pace bowler and middle-order batsman, Anderson played in the Under-19 World Cup in Malaysia in 2008 and two years later again made the squad for the tournament, which was held at home in New Zealand.",U.S.A.,Left hand Bat,Left arm Medium fast,Batting Allrounder
Milind Kumar,,U.S.A.,Right hand Bat,Right arm Offbreak,Allrounder
Harmeet Singh,"Spotted by Shivaji Park Gymkhana as a nine-year-old, Harmeet was coached by the likes of Padmakar Shivalkar, the former Mumbai left-arm spinner, and Praveen Amre, the former India batsman and ex-Mumbai coach at the academy. He was also the inaugural recipient of the Ramakant Achrekar Scholarship when he was 16. Harmeet led Mumbai at the U-16 and U-19 levels before making a spectacular first-class debut, when he grabbed a seven-wicket match haul in Mumbai's comfortable victory against Himachal Pradesh. His maiden five-for came in his third match, against Tamil Nadu in the 2010-11 season. Oddly, he was ignored the following season.",U.S.A.,Left hand Bat,Slow Left arm Orthodox,Bowling Allrounder
Shadley van Schalkwyk,"More than a decade later, he moved to the USA and was picked in their 2024 T20 World Cup squad.
Siddarth Ravindran",U.S.A.,Left hand Bat,Right arm Medium,Allrounder
Ali Khan,"Khan's pace caught the eyes of several coaches at the trial, in particular those of former West Indies fast bowler Courtney Walsh, and he wound up being picked in a 15-man combined ICC Americas squad to play in the 2016 WICB Nagico Super50 competition. His ability to bowl yorkers consistently, while swinging the ball at around 135 kph, earned him a place in Guyana Amazon Warriors after that February's Caribbean Premier League draft.",U.S.A.,Right hand Bat,Right arm Fast medium,Bowler
Nosthush Kenjige,,U.S.A.,Right hand Bat,Slow Left arm Orthodox,Bowler
Saurabh Netravalkar,"During this time, he completed his bachelor's degree in computer engineering. But with limited opportunities to play for Mumbai, he decided to pursue higher studies. In 2015, he got an offer for admission from Cornell University in New York for a master's degree and moved there.",U.S.A.,Right hand Bat,Left arm Fast medium,Bowler
Ashton Agar,"Agar's rapid rise continued when he made an unforgettable debut in the Ashes Test at Trent Bridge in 2013. Coming in at No. 11, with Australia reeling at 117 for 9, he struck an astonishing 98 - the highest Test score ever by a No. 11 - playing strokes that top-order batters would be proud of. He then picked up Alastair Cook as his maiden victim, thus becoming the first teenaged Australian spinner to take a Test wicket.",Australia,Left hand Bat,Slow Left arm Orthodox,Bowler
Jaker Ali,,Bangladesh,Right hand Bat,N/A,Wicketkeeper Batter
Mahedi Hasan,"Mahedi (not to be mistaken with Mehidy Hasan Miraz who is coincidentally his first-class teammate from Khulna Division) is an accurate off-spinner, gun fielder and a batsman who has done well in both the top-order and lower down. He has six first-class centuries and his only List-A ton was in his Dhaka Premier League debut in 2016.",Bangladesh,Right hand Bat,Right arm Offbreak,Allrounder
Johnson Charles,,West Indies,Right hand Bat,N/A,Wicketkeeper Batter
Mark Wood,An apparently relentless succession of injuries - particularly injuries to his ankle - threatened to either end his career or turn him into another fast medium seamer who compromised his pace for a longer career in the game.,England,Right hand Bat,Right arm Fast,Bowler
Ottneil Baartman,,South Africa,Right hand Bat,Right arm Medium fast,Bowler
Hazratullah Zazai,"A tall, hulking presence at the crease, Zazai made waves as a 20-year-old by striking back-to-back half-centuries in just his second and third matches to ensure a T20I series sweep of Ireland. In the final match at Bready, he single-handedly outscored Ireland with his 82 off 54 balls, which included seven sixes.",Afghanistan,Left hand Bat,Slow Left arm Orthodox,Opening Batter
Najibullah Zadran,,Afghanistan,Left hand Bat,Right arm Offbreak,Middle order Batter
Brandon King,"King made his first-class debut for Jamaica in 2014-15 but had a breakout season in 2018-19, when he racked up 630 runs in seven games, landing him a middle-order slot in the West Indies A side. King also debuted in the CPL in 2017 with St Kitts and Nevis Patriots, but flew under the radar until his switch to Guyana Amazon Warriors in 2019, where coach Johan Botha spotted his potential and bumped him up the order. He responded with 496 runs in 12 games, the most by anyone in the tournament that year, at a strike rate of 149, including an unbeaten 132 against Barbados Tridents, then the highest individual score in the CPL.",West Indies,Right hand Bat,N/A,Top order Batter
Romario Shepherd,"And like most modern West Indies players, Shepherd has played in multiple T20 leagues around the world - like the CPL, IPL, SA20, BPL and MLC. Most notably, playing for Mumbai Indians (MI) in IPL 2024, he bashed Anrich Nortje for 32 runs in a single over, including four sixes and two fours.",West Indies,Right hand Bat,Right arm Fast medium,Bowling Allrounder
Shayan Jahangir,,U.S.A.,Right hand Bat,Right arm Medium fast,Batter
Jasdeep Singh,"One of his first highlights at senior level for USA was taking a hat-trick in the inaugural American Cricket Federation National Championship in Los Angeles in October 2012. After continuously plugging away in New Jersey league cricket as well as various private T20 competitions around the country, he made his USA debut at the 2015 ICC Americas Division One Twenty20 tournament in Indianapolis.",U.S.A.,Right hand Bat,Right arm Medium,Bowler
Tony Ura,,P.N.G.,Right hand Bat,N/A,Opening Batter
Assad Vala,,P.N.G.,Left hand Bat,Right arm Offbreak,Batter
Charles Amini,"CJ has lived up to those familial standards by becoming a key cog in PNG's push to secure ODI status since 2014, and see it through some rocky times in the years since. Serving as a longtime vice-captain to Assad Vala, Amini's ability to produce handy spells of legspin in addition to timely contributions with the bat have made him a leader by deed as much as by word.",P.N.G.,Left hand Bat,Legbreak,Allrounder
Sese Bau,,P.N.G.,Left hand Bat,Right arm Offbreak,Middle order Batter
Hiri Hiri,,P.N.G.,Right hand Bat,Right arm Offbreak,Middle order Batter
Chad Soper,"Born in Port Moresby to a Papuan mother and Kiwi father, Soper grew up in New South Wales, and played the 2012 ICC Under-19 World Cup for PNG, taking a five-wicket haul against eventual champions India, ensuring he would remain in the minds of senior team selectors going forward.",P.N.G.,Right hand Bat,Right arm Medium fast,Bowler
Kiplin Doriga,,P.N.G.,Right hand Bat,N/A,Wicketkeeper Batter
Norman Vanua,,P.N.G.,Right hand Bat,Right arm Medium,Bowler
Alei Nao,,P.N.G.,Right hand Bat,Right arm Medium,Bowler
Kabua Morea,,P.N.G.,Right hand Bat,Left arm Medium,Bowler
Semo Kamea,,P.N.G.,Left hand Bat,Left arm Fast,Bowler
Finn Allen,"An opening batter who can also keep wicket, Finn Allen is arguably the hardest hitter of a cricket ball in New Zealand. His ability to go hard from ball one, and keep going hard, makes him a model opener in T20 cricket. He needed just four overs at the SCG in the 2022 T20 World Cup to put Australia on the brink of elimination.",New Zealand,Right hand Bat,N/A,Top order Batter
Devon Conway,"After moving to New Zealand at 26, following that 2017 game against Border, Johannesburg-born Conway was handed a contract by Wellington for the 2018-19 domestic season. The next season he was the top run-scorer in all three domestic competitions, including a triple-century against Canterbury in Wellington's Plunket Shield-winning campaign that gave them the title for the first time since 2003-04.",New Zealand,Left hand Bat,Right arm Medium,Wicketkeeper Batter
Rachin Ravindra,"After featuring in two Under-19 World Cups for New Zealand, Ravindra made a seamless transition into international cricket. He broke into the New Zealand senior team in 2021 and on his Test debut against a spin-heavy India attack that included R Ashwin, Ravindra Jadeja and Axar Patel, he played out 91 balls in the final innings to help New Zealand salvage a draw in Kanpur.",New Zealand,Left hand Bat,Slow Left arm Orthodox,Batting Allrounder
Kane Williamson,"By the time Kane Williamson is finished with playing cricket, it is probable that he will be New Zealand's greatest batsman. Even Martin Crowe endorsed that view. But he may also finish as one of the game's most loved global figures. Williamson is ambidextrous, bats right-handed in the top order across formats, and has become a pillar of the New Zealand side since he made his debut in 2010.",New Zealand,Right hand Bat,Right arm Offbreak,Top order Batter
Daryl Mitchell,"Mitchell, the son of former New Zealand rugby union player and coach John Mitchell, scored his first Test hundred at the start of 2021, in an innings win over Pakistan in Christchurch, and his first ODI century that March. In T20Is, when promoted to open at the 2021 T20 World Cup, he played a key role in New Zealand's run to the final, with an unbeaten 72 against England in the semi-final. Though New Zealand had a poor tour of England in 2022, losing all three Tests, Mitchell came out of the summer glowing, with two fifties and three hundreds, including a massive one at Trent Bridge. And he made a quick fifty against Pakistan in the T20 World Cup semi-final that year, though in a losing cause.",New Zealand,Right hand Bat,Right arm Medium,Batting Allrounder
Trent Boult,"Born in the Bay of Plenty region in New Zealand's North Island, Boult is, in the words of his brother Jono, a ""normal sort of Kiwi young guy… into his golf and fishing and surfing."" Cricket, though, was his calling. He lived in a neighbourhood which included eventual New Zealand team-mates Kane Williamson and Doug Bracewell, and had the backing of a supportive household that also kept him grounded. Signs of his skill were evident even as a teenager. As a 17-year-old, he was named the fastest secondary school bowler in the country. A year later, he was representing New Zealand at the Under-19 World Cup.",New Zealand,Right hand Bat,Left arm Fast medium,Bowler
Tim Southee,"It was a debut that gave a clear indication of the career to come. Over the next decade or so, Southee would go on to form one of the world's best new-ball partnerships with Trent Boult, and would also come to be known for his ability to clear the fence. He hit his 50th six in only his 36th Test.",New Zealand,Right hand Bat,Right arm Medium fast,Bowler
Lockie Ferguson,"A sporadic presence in the Auckland side in his first two first-class seasons, Ferguson broke through in 2014-15 with 21 wickets at 23.38. He took 31 the following year, and 117 in all in the four seasons through to 2017-18. He also enjoyed success in the List A side in this period.",New Zealand,Right hand Bat,Right arm Fast,Bowler
Ish Sodhi,"Sodhi struggled somewhat to establish himself in regional representative teams. Auckland's pitches, which provide little aid to spin bowlers, and captains who have been traditionally ill equipped with knowledge of how to use slow bowlers, didn't help. Despite that, he became a force in the domestic first-class game. For Northern Districts in the seven Plunket Shield seasons starting in 2012-13, his mastery of turn and flight fetched him 181 wickets. Forty of those came in just seven games, in 2016-17; the next year, equally as strikingly, he took 28 wickets in the four games he played in the competition.",New Zealand,Right hand Bat,Legbreak,Bowler
Mitchell Santner,"He was named in the one-day squad for the tour of England following the retirement of Daniel Vettori after the World Cup as New Zealand searched for another left-arm spin option. Santner was in to cover for the absence of the players at the IPL but made an immediate impression with a well-crafted 94 in a tour game against Somerset. He was handed his ODI debut at Edgbaston having played just 19 List A matches for Northern Districts. ""It's nice to have a left-arm spinner who turns,"" was a quip from the New Zealand camp.",New Zealand,Left hand Bat,Slow Left arm Orthodox,Bowling Allrounder
Pathum Nissanka,,Sri Lanka,Right hand Bat,N/A,Top order Batter
Kusal Mendis,"A highly-rated graduate of Sri Lanka's school cricket system, Mendis' batting had earned him a large following long before he was on the national selectors' radar. As wicketkeeper and flowing right-hand batsman, Mendis won the Schoolboy Cricketer of the Year award in 2013, for his work in the Prince of Wales College team. He was Sri Lanka's under-19 captain in the Youth World Cup the following year.",Sri Lanka,Right hand Bat,Legbreak,Wicketkeeper Batter
Kamindu Mendis,"A product of Galle's Richmond College, Mendis made his under-19 Sri Lanka debut shortly before his 16th birthday, and would go on to captain the under-19 side in the 2018 World Cup. In October of that year, he was picked in a Sri Lanka senior side for the first time, for the one-off T20 against England. A half-century in the practice match before that England tour had helped him secure a place.",Sri Lanka,Left hand Bat,"Right arm Offbreak, Slow Left arm Orthodox",Allrounder
Dhananjaya de Silva,"An eye-catching domestic season in 2016 got him a Test call-up, and he showed his potential with a hundred and a half-century against Australia in his third Test. He also scored match-winning hundreds in Harare, and at home against West Indies and Pakistan, the latter two scores coming in the second innings, but more often than not, de Silva was playing with his back to the wall, in the midst of a collapse, like the hundred to save the Delhi Test in 2017 and 46 and 47 not out to help Sri Lanka survive longer in Christchurch in 2023. In the next Test in Wellington, he made 98 in the follow-on. What makes him even more valuable is his ability to chip in with part-time offspin and his reliable fielding in the slips. De Silva plays a similar role with the bat and ball in limited-overs as well - in the 2023 ODI World Cup Qualifier, his 93 helped Sri Lanka survive a scare against a determined Netherlands side.",Sri Lanka,Right hand Bat,Right arm Offbreak,Allrounder
Charith Asalanka,,Sri Lanka,Left hand Bat,Right arm Offbreak,Batting Allrounder
Angelo Mathews,"In limited-overs cricket, Mathews' all-round skills have been indispensable. When he pulled a quad in the World Cup semi-final in 2011, it forced three changes to the XI that played in the final, as the team strove for the balance he could single-handedly deliver.",Sri Lanka,Right hand Bat,Right arm Medium,Allrounder
Dasun Shanaka,"But it was with the ball that Shanaka first made his mark on the international stage. He took 3 for 16 on a Pune greentop, against India, having only taken two domestic T20 wickets before then. He played bright cameos in Sri Lanka's 2016 World T20 campaign, and in April he was picked in the Test squad - for Sri Lanka's tour of England -  for the first time, largely on his potential, rather than his first-class record.Andrew Fidel Fernando",Sri Lanka,Right hand Bat,Right arm Medium,Allrounder
Wanindu Hasaranga,"Though it was his bowling that largely impressed at the Under-19 level - he claimed a particularly impactful 3 for 34 in the 2016 Youth World Cup quarter-final against England - batting was Hasaranga's stronger suit in his first two seasons of senior cricket. Hasaranga made a rapid 87 on first-class debut with Ports Authority Cricket Club, and, having switched to Colombo Cricket Club, hit 586 runs at an average of 39.06 and a strike rate of 93 in the 2017 Premier League Tournament.",Sri Lanka,Right hand Bat,Legbreak,Allrounder
Michael Levitt,,Netherlands,Right hand Bat,Right arm Fast,Top order Batter
Max O'Dowd,,Netherlands,Right hand Bat,Right arm Offbreak,Opening Batter
Vikramjit Singh,,Netherlands,Left hand Bat,Right arm Medium,Opening Batter
Sybrand Engelbrecht,"Engelbrecht is a stylish right-hander who has spent time working on his power game as much as his staying power at the crease. He is also a handy offpsinner. Most of his runs were scored in South Africa's second-tier competition, including his 214* against Namibia.",Netherlands,Right hand Bat,Right arm Offbreak,Allrounder
Scott Edwards,"Edwards is a dual passport holder thanks to his grandmother's Dutch roots and, as an 18-year-old, he played a season of club cricket for Excelsior in Rotterdam which put him on the Netherlands' radar. He moved back to Australia but when Tobias Visee went down injured, Ryan Campbell called him up to face Namibia in the Intercontinental Cup and the World Cricket League.",Netherlands,Right hand Bat,N/A,Wicketkeeper Batter
Bas de Leede,,Netherlands,Right hand Bat,Right arm Fast medium,Batting Allrounder
Logan van Beek,"He started out playing for New Zealand, whom he represented in the Under-19 World Cup in 2010, before switching to Netherlands, whom he qualified for because of his Dutch passport courtesy his paternal grandparents, who moved to New Zealand in the 1950s. He was following somewhat in the footsteps of his maternal grandfather, Sammy Guillen, himself a dual-international for West Indies and New Zealand.",Netherlands,Right hand Bat,Right arm Medium fast,Bowler
Tim Pringle,,Netherlands,Right hand Bat,Slow Left arm Orthodox,Allrounder
Aryan Dutt,,Netherlands,Right hand Bat,Right arm Offbreak,Bowler
Paul van Meekeren,,Netherlands,Right hand Bat,Right arm Fast medium,Bowler
Vivian Kingma,,Netherlands,Right hand Bat,Right arm Medium fast,Bowler
Nuwan Thushara,,Sri Lanka,Right hand Bat,Right arm Medium fast,Bowler
Maheesh Theekshana,,Sri Lanka,Right hand Bat,Right arm Offbreak,Bowler
Matheesha Pathirana,,Sri Lanka,Right hand Bat,Right arm Fast,Bowler
Kushal Bhurtel,,Nepal,Right hand Bat,Legbreak Googly,Opening Batter
Aasif Sheikh,,Nepal,Right hand Bat,N/A,Wicketkeeper Batter
Anil Sah,,Nepal,Right hand Bat,Right arm Offbreak,Wicketkeeper
Rohit Paudel,,Nepal,Right hand Bat,Right arm Offbreak,Batting Allrounder
Sundeep Jora,,Nepal,Right hand Bat,N/A,Middle order Batter
Kushal Malla,,Nepal,Left hand Bat,Slow Left arm Orthodox,Batting Allrounder
Dipendra Singh Airee,"After playing in the 2016 U-19 World Cup, he made his senior-team debut as a 17-year-old against Kenya in 2017 and was part of the core group that propelled Nepal to ODI status in 2018. Though he began his senior team career exclusively as a batter - he bowled just once in his first 22 T20Is and similarly in just a handful of ODIs while captained by Khadka - his disciplined offspin became a staple of the team's strategy when Nepal's fixtures resumed following the Covid pandemic. Not only did Airee begin to regularly bowl a full quota of overs, he was economical and incisive enough as a wicket-taker to dispel thoughts that he would be dropped over patchy batting form.",Nepal,Right hand Bat,"Right arm Medium, Right arm Offbreak",Middle order Batter
Gulsan Jha,,Nepal,Left hand Bat,Right arm Medium,Allrounder
Sompal Kami,,Nepal,Right hand Bat,Right arm Fast medium,Bowling Allrounder
Sandeep Lamichhane,"Serendipitous Sandy made his unofficial senior team debut as a 15-year-old in November 2015 against a touring MCC squad. Hong Kong wicketkeeper Scott McKechnie, playing for the MCC, was dismissed twice by Lamichhane, prompting him to recruit the young legspinner to play for Kowloon Cantons at the inaugural Hong Kong T20 Blitz in May 2016. It was there that Lamichhane crossed paths with former Australia captain Michael Clarke, who observed enough of Lamichhane's talent to extend an invite to come to Sydney for the following Australian summer playing club cricket under Clarke's watchful eye.",Nepal,Right hand Bat,Legbreak Googly,Bowler
Abinash Bohara,,Nepal,Right hand Bat,Right arm Medium,Bowler
Andy Balbirnie,"One of his most memorable innings came shortly after he took over the leadership - a run-a-ball 113 in a seven-wicket ODI win over England in August 2020. A year later he led Ireland to another famous win, scoring 112 as an opener in Ireland's first win over South Africa in ODIs.",Ireland,Right hand Bat,Right arm Offbreak,Batter
Paul Stirling,"Born in Belfast, Stirling made his ODI debut at the age of just 17. He played for Ireland in the World Twenty20 in England in 2009, and then signed a three-year contract with Middlesex in December 2009. The following year he gave further notice of his talent by thumping a 134-ball 177 for Ireland against Canada in Toronto - the highest ODI score made by an Irishman. While he struggled in the 2011 World Cup, he ended the tournament with 101 in Ireland's victory against the Netherlands, and a century in Ireland's ODI series against Pakistan in May 2011 had Waqar Younis purring. He added another against the same opponents in Ireland's tie with Pakistan two years later. Stirling also revealed his big match temperament with a pair of blistering innings - 79 off 38 balls and 76 off 43 balls - against Afghanistan in the finals of the World T20 qualifiers in 2012 and 2013.",Ireland,Right hand Bat,Right arm Offbreak,Batting Allrounder
Lorcan Tucker,"Tucker's first international fifty came in 2019, against Zimbabwe in an ODI home series where Ireland whitewashed the visitors. He also shone in Ireland's T20I series against USA in Lauderhill in 2021, holding his side together in an unsuccessful  chase of 189 with 57 not out, and then making 84 in the series decider for a win.",Ireland,Right hand Bat,N/A,Wicketkeeper Batter
Harry Tector,"Playing in just his third ODI, in 2020, Tector produced an ice-cool 29 not out off 26 balls to help secure a famous win chasing 329 with a ball to spare. Paul Stirling's and Andy Balbirnie's hundreds may have taken the headlines on the day, but Tector's poise gave hope that Ireland may have found a cure for the middle-order ills that had plagued them following multiple retirements toward the end of the 2010s.",Ireland,Right hand Bat,Right arm Offbreak,Middle order Batter
Curtis Campher,"Thrown straight into the side, Campher made half-centuries in his first two international innings, and dismissed Tom Banton with his fourth ball on debut - whom he had previously trapped lbw while playing against him for South Africa U-19s. He also took a couple of wickets in the famous Irish victory in the third match of the series, and was immediately a fixture in the one-day side. ""He's a great person to captain,"" said Andy Balbirnie.",Ireland,Right hand Bat,Right arm Medium fast,Allrounder
George Dockrell,"Dockrell played a key role in Ireland's 2010 T20 World Cup campaign, seeing off Netherlands in the qualifying tournament before taking 3 for 16 against West Indies and choking England's middle order with four overs for 19 runs. School exams then prevented him facing Australia in an ODI but a month later he was offered a contract at Somerset.",Ireland,Right hand Bat,Slow Left arm Orthodox,Allrounder
Gareth Delany,,Ireland,Right hand Bat,Legbreak Googly,Batting Allrounder
Mark Adair,,Ireland,Right hand Bat,Right arm Fast medium,Bowling Allrounder
Barry McCarthy,"When Ireland were granted Test status, McCarthy was ambitious to become a central part of Ireland's Test side, but he was ""bitterly disappointed"" to miss out on selection for their inaugural Test against Pakistan. He was released by Durham at the end of that 2018 summer.",Ireland,Right hand Bat,Right arm Fast medium,Bowler
Josh Little,"Little had made his T20I debut two months short of his 17th birthday back in 2016, but found himself balancing academic commitments with cricket in the first two years of his career, limiting his availability. He began to feature more regularly from 2019 onwards, as one of a number of promising young Irish seamers coming through at the same time, and was awarded an emerging player contract that year.",Ireland,Right hand Bat,Left arm Fast medium,Bowler
Ben White,,Ireland,Right hand Bat,Legbreak,Bowler
Mohammad Rizwan,"A limited batsman but a technically sound keeper when he first rose through the ranks, Rizwan made his international debut shortly after the 2015 World Cup when the slot behind the stumps was still up for grabs. He made a bright start against Bangladesh, Sri Lanka and Zimbabwe, averaging nearly 60 with the bat in his first eight innings, but against more challenging opposition, his deficiencies were quickly exposed. A lengthy lean patch followed, and once he lost his place to Sarfaraz for the World T20 in 2016, there was little doubt who Pakistan's No. 1 wicketkeeper was. After the debacle at the World T20, Sarfaraz was appointed captain of the limited-overs sides, and consequently Rizwan's game time diminished further, coming to a complete halt until Sarfaraz sat out the last five games on the tour to South Africa in January 2019 serving a ban.",Pakistan,Right hand Bat,Right arm Medium,Wicketkeeper Batter
Saim Ayub,"He didn't play any recognised T20 cricket for more than a year after that but an explosive National T20 Cup season showcased a deliberate change in his intent as he finished as the second-highest run-scorer in the tournament at a strike rate streets ahead of any other batter. It earned him a brief Bangladesh Premier League gig, as well as a second chance at the PSL, one he grasped with both hands. With Peshawar Zalmi, he finished among the highest run-scorers in 2023 and 2024, with strike rates of 165.53 and 157.53 respectively. With Babar Azam playing a relatively more sedate role alongside him, Ayub's ability to get Zalmi off to flyers stood them in good stead.",Pakistan,Left hand Bat,Right arm Offbreak,Top order Batter
Babar Azam,"Born in Lahore and a first cousin to the Akmal brothers, Azam made his way up through age-group cricket. His journey began at an under-15 world championship in 2008 and he played two under-19 World Cups in 2010 and 2012, where he was Pakistan's top run-scorer.",Pakistan,Right hand Bat,Right arm Offbreak,Batter
Fakhar Zaman,"However, his prolific form earned him a contract in the PSL with the Lahore Qalandars. He showed flashes of the class he'd been displaying domestically, particularly during a 33-ball 56 against Karachi where he destroyed the opposition bowling and looked extremely elegant while doing so. It earned him a call-up to Pakistan's T20I side for the West Indies tour, and he made his debut in the second match in Port of Spain.",Pakistan,Left hand Bat,Slow Left arm Orthodox,Opening Batter
Usman Khan,,Pakistan,Right hand Bat,Right arm Offbreak,Top order Batter
Shadab Khan,"Shadab has made an immediate impact; he only played his maiden first-class game ten months ago, in July 2016. His ability with the U-19 side caught PSL franchise Islamabad United's eye, who gave the young leggie a chance he accepted with aplomb. His performance during the competition won him praise from the likes of Wasim Akram and Misbah-ul-Haq, and saw him called up to Pakistan's limited-overs side for the tour to the West Indies. His meteoric rise continued as he flourished in the first two T20Is, taking seven wickets for 21 runs and winning the Man-of-the-Match award on both occasions.",Pakistan,Right hand Bat,Legbreak,Allrounder
Imad Wasim,,Pakistan,Left hand Bat,Slow Left arm Orthodox,Allrounder
Abbas Afridi,"Fast bowler Abbas Afridi first played List A cricket in 2018, but it was only when handed a T20 debut in the PSL that he finally found his calling. He finished as the top wicket-taker in the 2023 PSL with 23, off the back of which he immediately became a contender for a spot in the national side.",Pakistan,Right hand Bat,Right arm Medium fast,Bowler
Shaheen Shah Afridi,"Riaz Afridi made his solitary Test performance for Pakistan in 2004, when Shaheen was just four years old. He pushed Shaheen to hard-ball cricket following years of the younger brother enjoying success in Pakistan's informal tape-ball circuit. In 2015, FATA selected him after an U-16 talent hunt programme. His pace, physique and fitness won him an U-16 tour of Australia, and since then, he's been progressing through the youth squads.",Pakistan,Left hand Bat,Left arm Fast,Bowler
Mohammad Amir,"He began in 2009 with an impressive showing on the domestic circuit, impressing with his whippy pace and swing. He took 55 wickets for National Bank of Pakistan in his debut season, and earned selection to the Pakistan World T20 squad. There he hit the big time, taking over from an out-of-sorts Sohail Tanvir and bowling with pace, accuracy and courage.",Pakistan,Left hand Bat,Left arm Fast medium,Bowler
Haris Rauf,"Growing up completely outside of the formal Pakistan cricket system, a 24-year-old Rauf showed up to audition for Lahore Qalandars' player development programme in 2017, having only played tape-ball cricket until that point. He caught everyone's eye with his extreme pace, and after a successful season with Qalandars and a whirlwind BBL summer, he was fast-tracked into the national side.",Pakistan,Right hand Bat,Right arm Fast,Bowler
George Munsey,"However, Munsey's self-realisation that he preferred a team environment over the individualistic nature of golf began to take shape while captaining the cricket team at the school. Upon graduation, he stayed in Edinburgh and continued to work his way up the ladder via club cricket.",Scotland,Left hand Bat,Right arm Medium fast,Opening Batter
Michael Jones,"Jones finished the season with 878 runs at 51.64, top-scoring for his team in the Championship, having also added a T20 debut and a first hundred in List A cricket during the Royal London One-Day Cup. He subsequently went to the T20 World Cup with Scotland, who he was eligible for thanks to a Scottish mother, making 86 off 55 balls in their defeat to Ireland in Hobart. The following year, he was an ever-present member of the Championship XI as Durham ran away with the Division Two title.",Scotland,Right hand Bat,Right arm Offbreak,Top order Batter
Brandon McMullen,,Scotland,Right hand Bat,Right arm Medium,Batting Allrounder
Richie Berrington,"A batting allrounder who can bowl seam, Berrington was born in Pretoria but emigrated to Scotland as a youth and has been part of their set-up since his days in the Under-15 side. His early promise was clearly evident and as an 18 year old he was sent to India as part of the ICC's European Cricket Academy.",Scotland,Right hand Bat,Right arm Medium fast,Top order Batter
Matthew Cross,"In his younger years Cross showed promise at football, representing Aberdeen FC at U-15 level but committed to cricket while juggling his engineering degree studies at MCC Loughborough University. In 2013 he was on the books at Nottinghamshire and scored 47 in his only senior game, against Bangladesh A. He was later a part of the MCC Young Cricketers Programme at Lord's for two years and had other trials around the county scene with Durham, Essex and Kent, but didn't make it in English first-class cricket.",Scotland,Right hand Bat,N/A,Wicketkeeper Batter
Michael Leask,,Scotland,Right hand Bat,Right arm Offbreak,Allrounder
Chris Greaves,,Scotland,Right hand Bat,Legbreak,Bowler
Nathan Ellis,"In 2019 he was a club cricketer who had moved to Tasmania from New South Wales in search of opportunity and worked a variety of jobs including a landscape gardener, a labourer and a teacher's aide.",Australia,Right hand Bat,Right arm Fast medium,Bowler
Brad Wheal,"He played four Championship matches in 2015, accounting for an England opener, Sam Robson, on his debut. A Scotland debut, at 19, followed in 2016, a year in which his experience was also developed with eight further Championship matches. It felt like a breakthrough season, not just for an exceptional last over in the televised T20 win against Sussex but also his six wickets against Notts at Trent Bridge and a 4 for 39 in the final Championship match against Durham with relegation staring Hampshire in the face.",Scotland,Right hand Bat,Right arm Fast medium,Bowler
Mark Watt,"He was instrumental in Scotland winning the Oman Quadrangular T20I Series in 2019, taking three wickets apiece in each of their two victories, over Ireland and Oman. Later that year, in the T20 World Cup Qualifier in the UAE, he took 12 wickets as Scotland went through to the event (which was deferred to 2021 due to Covid).",Scotland,Left hand Bat,Slow Left arm Orthodox,Bowler
Chris Sole,,Scotland,Right hand Bat,Right arm Fast medium,Bowler
Safyaan Sharif,"In March 2018, during the 2018 Cricket World Cup Qualifier tied match against Zimbabwe at the Queens Sports Club in Bulawayo, he took his first five-wicket haul in ODIs and his 5 for 33 won him the man of the match award.",Scotland,Right hand Bat,Right arm Medium fast,Bowler
Michael van Lingen,,Namibia,Left hand Bat,"Left arm Medium, Slow Left arm Orthodox",Bowling Allrounder
Nikolaas Davin,,Namibia,Right hand Bat,Legbreak,Batter
David Wiese,"Five years later he became eligible to play for Namibia based on ancestry. He made his debut in the opening round of the T20 World Cup and helped his new team qualify for the Super 12s, winning two Player-of-the-Match awards on the way. Six months on, he was part of the Namibia side that won their first series against a Full Member when they beat Zimbabwe 3-2 in a T20I series in Bulawayo.",Namibia,Right hand Bat,Right arm Medium fast,Allrounder
Gerhard Erasmus,,Namibia,Right hand Bat,Right arm Offbreak,Allrounder
JJ Smit,,Namibia,Right hand Bat,Left arm Medium fast,Bowling Allrounder
Ruben Trumpelmann,,Namibia,Right hand Bat,Left arm Fast,Bowler
Bernard Scholtz,,Namibia,Right hand Bat,Slow Left arm Orthodox,Bowler
Jack Brassell,,Namibia,Right hand Bat,Right arm Medium,Bowler
Ronak Patel,,Uganda,Right hand Bat,Slow Left arm Orthodox,Batter
Simon Ssesazi,,Uganda,Left hand Bat,Right arm Slow,Wicketkeeper Batter
Robinson Obuya,,Uganda,Right hand Bat,N/A,Batter
Alpesh Ramjani,,Uganda,Left hand Bat,Slow Left arm Orthodox,Allrounder
Kenneth Waiswa,,Uganda,Right hand Bat,Right arm Medium,Allrounder
Riazat Ali Shah,,Uganda,Right hand Bat,Right arm Medium,Batting Allrounder
Dinesh Nakrani,,Uganda,Left hand Bat,Left arm Medium,Allrounder
Brian Masaba,,Uganda,Right hand Bat,"Right arm Fast medium, Right arm Offbreak, Legbreak Googly",Bowler
Fred Achelam,,Uganda,Right hand Bat,N/A,Wicketkeeper Batter
